,,Number_of_Annotations,Seq_len,Seq_len,Seq_len
,,count,max,mean,min
non_interested_role_parts_present,Number_of_Annotations,,,,
False,0,1706,3767.0,262.7063305978898,0.0
False,1,151,1486.0,250.17218543046357,0.0
False,2,1,15.0,15.0,15.0
False,5,1,322.0,322.0,322.0
True,1,168,2785.0,452.8392857142857,0.0
True,2,290,2430.0,295.3344827586207,7.0
True,3,85,3230.0,578.3058823529411,46.0
True,4,43,4313.0,936.3488372093024,86.0
True,5,18,5482.0,1235.0555555555557,141.0
True,6,10,3391.0,940.6,171.0
True,7,7,3628.0,1736.2857142857142,305.0
True,8,5,3086.0,885.6,296.0
True,9,4,2422.0,1518.75,313.0
True,10,2,3479.0,3475.5,3472.0
True,11,1,1385.0,1385.0,1385.0
True,12,1,2274.0,2274.0,2274.0
