,s.value,Role_Name
2403,https://synbiohub.org/public/igem/BBa_I720010/1,Promoter
2402,https://synbiohub.org/public/igem/BBa_I720009/1,Promoter
4459,https://synbiohub.org/public/igem/BBa_K1974003/1,CDS
2979,https://synbiohub.org/public/igem/BBa_K1974001/1,CDS
4711,https://synbiohub.org/public/igem/BBa_K1974002/1,CDS
3354,https://synbiohub.org/public/igem/BBa_K245014/1,CDS
4481,https://synbiohub.org/public/igem/BBa_K1974020/1,CDS
1832,https://synbiohub.org/public/igem/BBa_I714005/1,Terminator
5747,https://synbiohub.org/public/igem/BBa_K1084202/1,CDS
4898,https://synbiohub.org/public/igem/BBa_M36005/1,CDS
2400,https://synbiohub.org/public/igem/BBa_I720007/1,Promoter
376,https://synbiohub.org/public/igem/BBa_K1346010/1,Promoter
5106,https://synbiohub.org/public/igem/BBa_K1908001/1,CDS
463,https://synbiohub.org/public/igem/BBa_J100241/1,Promoter
2775,https://synbiohub.org/public/igem/BBa_B1006/1,Terminator
3493,https://synbiohub.org/public/igem/BBa_K112709/1,Terminator
3522,https://synbiohub.org/public/igem/BBa_K112901/1,CDS
111,https://synbiohub.org/public/igem/BBa_M36456/1,Terminator
7440,https://synbiohub.org/public/igem/BBa_B1001/1,Terminator
432,https://synbiohub.org/public/igem/BBa_K1529567/1,CDS
2674,https://synbiohub.org/public/igem/BBa_J100228/1,Promoter
9,https://synbiohub.org/public/igem/BBa_K1137014/1,CDS
691,https://synbiohub.org/public/igem/BBa_B0050/1,Terminator
9093,https://synbiohub.org/public/igem/BBa_J70615/1,Promoter
9094,https://synbiohub.org/public/igem/BBa_J70617/1,Promoter
9095,https://synbiohub.org/public/igem/BBa_J70619/1,Promoter
3495,https://synbiohub.org/public/igem/BBa_K112711/1,Promoter
1472,https://synbiohub.org/public/igem/BBa_M13504/1,Ribosome Entry Site
4004,https://synbiohub.org/public/igem/BBa_K309002/1,Promoter
7622,https://synbiohub.org/public/igem/BBa_B0013/1,Terminator
4962,https://synbiohub.org/public/igem/BBa_M36230/1,Promoter
9734,https://synbiohub.org/public/igem/BBa_K1132001/1,Promoter
212,https://synbiohub.org/public/igem/BBa_M45013/1,CDS
4982,https://synbiohub.org/public/igem/BBa_M36233/1,Promoter
6000,https://synbiohub.org/public/igem/BBa_M36266/1,Promoter
4969,https://synbiohub.org/public/igem/BBa_M36303/1,Promoter
4999,https://synbiohub.org/public/igem/BBa_J119029/1,Promoter
6876,https://synbiohub.org/public/igem/BBa_K1676010/1,Ribosome Entry Site
7629,https://synbiohub.org/public/igem/BBa_K771101/1,CDS
7708,https://synbiohub.org/public/igem/BBa_K771110/1,CDS
7707,https://synbiohub.org/public/igem/BBa_K771109/1,CDS
7637,https://synbiohub.org/public/igem/BBa_K771103/1,CDS
7641,https://synbiohub.org/public/igem/BBa_K771104/1,CDS
7626,https://synbiohub.org/public/igem/BBa_K771302/1,CDS
7630,https://synbiohub.org/public/igem/BBa_K771304/1,CDS
7546,https://synbiohub.org/public/igem/BBa_K771301/1,CDS
7627,https://synbiohub.org/public/igem/BBa_K771303/1,CDS
194,https://synbiohub.org/public/igem/BBa_K1621003/1,CDS
8323,https://synbiohub.org/public/igem/BBa_K264003/1,Promoter
8479,https://synbiohub.org/public/igem/BBa_K264045/1,Promoter
5482,https://synbiohub.org/public/igem/BBa_K823031/1,CDS
5418,https://synbiohub.org/public/igem/BBa_M50025/1,CDS
5117,https://synbiohub.org/public/igem/BBa_K2165004/1,Promoter
7559,https://synbiohub.org/public/igem/BBa_K809005/1,Terminator
8774,https://synbiohub.org/public/igem/BBa_K1033103/1,CDS
3084,https://synbiohub.org/public/igem/BBa_K1895002/1,Promoter
5113,https://synbiohub.org/public/igem/BBa_J120022/1,CDS
1821,https://synbiohub.org/public/igem/BBa_K1354001/1,CDS
8060,https://synbiohub.org/public/igem/BBa_K802007/1,CDS
513,https://synbiohub.org/public/igem/BBa_M45180/1,CDS
6057,https://synbiohub.org/public/igem/BBa_K530014/1,Terminator
694,https://synbiohub.org/public/igem/BBa_B0060/1,Terminator
8679,https://synbiohub.org/public/igem/BBa_M36926/1,CDS
9534,https://synbiohub.org/public/igem/BBa_K1189013/1,CDS
5844,https://synbiohub.org/public/igem/BBa_M34573/1,CDS
4795,https://synbiohub.org/public/igem/BBa_K1882006/1,CDS
9438,https://synbiohub.org/public/igem/BBa_K1214007/1,Promoter
555,https://synbiohub.org/public/igem/BBa_K1520002/1,Promoter
554,https://synbiohub.org/public/igem/BBa_K1520001/1,Promoter
2755,https://synbiohub.org/public/igem/BBa_K131008/1,Terminator
3297,https://synbiohub.org/public/igem/BBa_K1994014/1,CDS
7224,https://synbiohub.org/public/igem/BBa_K156029/1,Terminator
7223,https://synbiohub.org/public/igem/BBa_K156028/1,Terminator
7209,https://synbiohub.org/public/igem/BBa_K156027/1,Terminator
7985,https://synbiohub.org/public/igem/BBa_K245132/1,CDS
6877,https://synbiohub.org/public/igem/BBa_K1676011/1,Ribosome Entry Site
6795,https://synbiohub.org/public/igem/BBa_J72175/1,CDS
2808,https://synbiohub.org/public/igem/BBa_K105100/1,CDS
6509,https://synbiohub.org/public/igem/BBa_K1732003/1,CDS
1727,https://synbiohub.org/public/igem/BBa_K1381000/1,Promoter
1728,https://synbiohub.org/public/igem/BBa_K1381001/1,Promoter
1730,https://synbiohub.org/public/igem/BBa_K1381002/1,Promoter
8553,https://synbiohub.org/public/igem/BBa_K242004/1,Promoter
1021,https://synbiohub.org/public/igem/BBa_J24003/1,CDS
4835,https://synbiohub.org/public/igem/BBa_K640008/1,Promoter
983,https://synbiohub.org/public/igem/BBa_K1799013/1,Ribosome Entry Site
4220,https://synbiohub.org/public/igem/BBa_K339010/1,Promoter
4611,https://synbiohub.org/public/igem/BBa_J176003/1,Promoter
1721,https://synbiohub.org/public/igem/BBa_J61130/1,Ribosome Entry Site
1722,https://synbiohub.org/public/igem/BBa_J61131/1,Ribosome Entry Site
2761,https://synbiohub.org/public/igem/BBa_K1676016/1,Ribosome Entry Site
7898,https://synbiohub.org/public/igem/BBa_J61107/1,Ribosome Entry Site
6802,https://synbiohub.org/public/igem/BBa_K1605014/1,Ribosome Entry Site
5817,https://synbiohub.org/public/igem/BBa_J61104/1,Ribosome Entry Site
1710,https://synbiohub.org/public/igem/BBa_J61115/1,Ribosome Entry Site
2863,https://synbiohub.org/public/igem/BBa_K110013/1,Terminator
2675,https://synbiohub.org/public/igem/BBa_J100230/1,Promoter
2864,https://synbiohub.org/public/igem/BBa_K110014/1,Promoter
2276,https://synbiohub.org/public/igem/BBa_J61101/1,Ribosome Entry Site
