,Equal,Min_Len_Param,Over_Min_Len,Seq_Len,Seq_Len,Seq_Len,Seq_Len,Seq_Len,U_Basic_Min_Len,U_Basic_Or_Comp_Role_Equal,U_Comp_Role_Equal,U_Composite_Min_Len,U_Over_Min_Len,discontinued.value,seq.value
,sum,max,sum,count,max,mean,min,std,sum,sum,sum,sum,sum,sum,nunique
Role_Name,,,,,,,,,,,,,,,
CDS,False,40,6188.0,6188.0,66879.0,1189.1137685843569,42.0,1462.2223401242557,6188.0,6188.0,False,False,6188.0,221.0,6188
Chromosome,False,6,10.0,10.0,5488.0,3932.6,1083.0,1344.8172283911958,10.0,10.0,False,False,10.0,0.0,10
Engineered Region,False,6,3698.0,3698.0,18521.0,1585.9970254191455,7.0,1511.889529141479,3698.0,3698.0,False,False,3698.0,117.0,3698
Mature Transcript Region,False,6,485.0,485.0,3182.0,207.53608247422682,14.0,351.4160863432687,485.0,485.0,False,False,485.0,12.0,485
OriT,False,6,20.0,20.0,1780.0,600.6,83.0,545.1043743608818,20.0,20.0,False,False,20.0,0.0,20
Plasmid,False,40,398.0,398.0,49726.0,4818.047738693467,284.0,3999.086771095753,398.0,398.0,False,False,398.0,28.0,398
Plasmid Vector,False,40,353.0,353.0,48172.0,4083.0623229461758,84.0,2994.5778854479486,353.0,353.0,False,False,353.0,11.0,353
Polypeptide Domain,False,6,665.0,665.0,66190.0,623.6691729323309,9.0,2620.0074735528806,665.0,665.0,False,False,665.0,6.0,665
Primer,False,6,567.0,567.0,2514.0,78.82186948853615,10.0,325.9031729017883,567.0,567.0,False,False,567.0,41.0,567
Promoter,False,6,2493.0,2493.0,5507.0,346.54993983152826,7.0,519.9808371856847,2493.0,2493.0,False,False,2493.0,134.0,2493
Restriction Enzyme Assembly Scar,False,6,24.0,24.0,68.0,25.083333333333332,7.0,14.80281015232571,24.0,24.0,False,False,24.0,0.0,24
Ribosome Entry Site,False,6,448.0,448.0,2283.0,60.439732142857146,7.0,218.4237839151082,448.0,448.0,False,False,448.0,12.0,448
Sequence feature,False,6,1925.0,1925.0,49726.0,726.3028571428572,7.0,1887.898192007663,1925.0,1925.0,False,False,1925.0,87.0,1925
T7 RNA Polymerase Promoter,False,6,24.0,24.0,2980.0,984.2916666666666,19.0,1268.6809815595936,24.0,24.0,False,False,24.0,0.0,24
Tag,False,6,222.0,222.0,5846.0,174.47297297297297,12.0,477.88992909885405,222.0,222.0,False,False,222.0,8.0,222
Terminator,False,6,329.0,329.0,3388.0,158.46808510638297,9.0,269.03661639271627,329.0,329.0,False,False,329.0,7.0,329
