Weight,Word
9,Accumulibacter
23,Acetobutylicum
17,Acinetobacter
4,Acnes
1,Adoxophyes
20,Aequorea
5,aerogenes
65,Aeruginosa
33,Agrobacterium
9,Alcaligenes
2,Alcanivorax
15,Algae
14,ananatis
1,Antarctica
6,Apis
39,Arabidopsis
13,Archaea
2,armigera
53,Aspergillus
2,atlantica
44,Aureus
1,Auxenochlorella
5,avermitilis
3,Azotobacter
5,Bacilli
311,Bacillus
799,Bacteria
228,Bacterium
2,barkeri
4,baumannii
3,Benthamiana
7,Bordetella
3,borkumensis
1,brazzeana
2,californianus
8,capsulatus
18,Caulobacter
2,Cedecea
3,Cellulolyticum
9,Cellulomonas
8,cellulovorans
2,Cerastes
218,Cerevisiae
2,chinese honey bee
49,Chlamy
48,Chlamydomonas
27,Chloroplast
1,Chlostridium
5,chrysanthemi
5,chrysosporium
1,cinnabarinus
13,Citrus
5,cloacae
39,Clostridium
95,Cmv
2249,Coli
5,Crab
12,crescentus
3,cylindrus
3,Cytophaga
16,Deinococcus
3,dendrorhous
1,Digitalis
14,Drosophila
1,Dunaliella
44,elegans
1,elongates
57,Enterobacter
28,Erwinia
2,erythraeum
255,Escherichia
4,Eucalyptus
126,Eukaryote/eukarotic/eucaryotic/eucaryote
3,europaea
12,eutropha
2,eutrophus
1,falciparum
12,fimi
22,Firefly
42,fischer
41,Fischeri
47,Fish
20,florum
3,Fragilariopsis
1,Fusarium
4,fusca
7,Geobacter
5,Gluconacetobacter
3,gonorrhoeae
4,Gordonia
4,grandis
3,Grapefruit
12,gryphiswaldense
3,haemolytica
7,Haemophilus
4,Haloferax
24,Hammerhead
2,hansenii
17,harveyi
17,HEK293
38,HeLa
1,Helianthus
2,Helicoverpa
12,hepatitis
396,Homo
4,Horseradish
1,horseshoe crabs
350,Human
3,hutchinsonii
1,hygroscopicus
48,Ideonella
1,indolifex
9,influenza
5,Klebsiella
261,Lambda
2,lanata
1,Lautropia
7,legionella
2,Leguminosarum
3,Leishmania
2,Lincheniformes
12,lipolytica
25,Listeria
8,Luminescens
1,laumondii
2,Macrolepiota
16,magneticum
29,Magnetospirillum
169,mammal
3,Mannheimia
1,marapaludis
10,marcescens
27,Marchantia
7,Mays
2,mazei
6,melanogaster
11,Meliloti
5,Mellifera
3,Meningitidis
12,Mesoplasma
7,metallidurans
2,Methanobrevibacter
7,methanococcus
4,Methanosarcina
6,Methylococcus
8,Methylosinus
2,Methyloversatilis
1,micrococcal
7,Microcystis
3,mirabilis
65,Mitochondria/mitochondrial
15,mobilis
23,monocytogenes
192,Mus
8,Musculus
5,Mussels
25,Mutans
34,Mycobacterium
4,Mytilus
1,Myxococcus
8,Neisseria
2,neteri
7,Neurospora
2,Nicothiana
3,Nitrosomonas
1,Oceanibulbus
1,Oleispira
1,oleracea
58,Oneidensis
4,Orazy
0,orzyae
3,oxytoca
14,Pantoea
37,pastoris
17,Patens
1,Pentadiplandra
3,pertussis
9,Phaeodactylum
497,Phage
6,Phanerochaete
9,phosphatis
5,Photinus
8,Photorhabdus
14,Physcomitrella
57,Phytobrick
30,Pichia
3,pistillata
166,Plant
2,Plasmodium
60,polymorph
1,Populus
2,procera
50,Prokaryote/prokaryotic/procaryote/procarotic
1,protothecoides
2,Pseudoalteromonas
186,pseudomonas
2,pseudonana
3,Psuedomonas
2,Psychrobacter
3,pumilus
1,purpurea
72,putida
1,Pycnoporus
6,pyralis
21,radiodurans
22,Ralstonia
31,reinhardtii
18,Renilla
19,Rhizobium
30,Rhodobacter
3,Ruminantium
9,S7
107,saccharomyces
1,Sakarinesis
122,Salmonella
17,sapiens
13,sativa
14,Serratia
3,Sf9
72,Shewanella
1,Shynechococcus
4,Sinorhizobium
1,solani
1,sorveticus
134,Sp
28,sphaeroides
1,sphaeroids
5,Sphingobium
29,Spider
7,Spinach
1,Spinacia
35,Staphylococcus
2,Streptoccoccus
1,Streptomicis
51,Streptomyces
3,Stylophora
296,Subtilis
7,sulfurreducens
61,Sv40
92,Synechocystis
1,tetrasperma
2,Thalassiosira
24,Thaliana
4,Thermobifida
10,thermocellum
0,thermophiles
28,Thermophilus
6,Thermus
1,Thioclava
2,Trichodesmium
8,trichosporium
9,tricornutum
23,Tuberculosis
1,Tuberosus
29,tumefaciens
51,typhimurium
2,universalis
16,uredovora
1,vanilloulus
3,Vertebrate
59,Vibrio
26,Victoria
4,vinelandii
157,Virus
4,Volcanii
9,worm
3,xanthophyllomyces
1,xanthus
11,Yarrowia
589,Yeast
26,Zea
1,Zoarces
3,Zymomonas
10978,None of the Above
,
,
,
,
,
