similarity,node_uri
98.95833333333334,"['https://synbiohub.org/public/igem/BBa_K115008/1', 'https://synbiohub.org/public/igem/BBa_K115001/1']"
97.33333333333334,"['https://synbiohub.org/public/igem/BBa_K598004/1', 'https://synbiohub.org/public/igem/BBa_K598003/1']"
97.22222222222221,"['https://synbiohub.org/public/igem/BBa_K1223014/1', 'https://synbiohub.org/public/igem/BBa_J70579/1', 'https://synbiohub.org/public/igem/BBa_J70580/1', 'https://synbiohub.org/public/igem/BBa_K1722004/1', 'https://synbiohub.org/public/igem/BBa_J70581/1']"
96.23430962343096,"['https://synbiohub.org/public/igem/BBa_K1859007/1', 'https://synbiohub.org/public/igem/BBa_K1859009/1']"
95.95375722543352,"['https://synbiohub.org/public/igem/BBa_K1997009/1', 'https://synbiohub.org/public/igem/BBa_K1997008/1', 'https://synbiohub.org/public/igem/BBa_K1997006/1', 'https://synbiohub.org/public/igem/BBa_K1997007/1']"
95.73459715639811,"['https://synbiohub.org/public/igem/BBa_K1363611/1', 'https://synbiohub.org/public/igem/BBa_K1363607/1']"
95.6896551724138,"['https://synbiohub.org/public/igem/BBa_K1100064/1', 'https://synbiohub.org/public/igem/BBa_K1100065/1', 'https://synbiohub.org/public/igem/BBa_K1100063/1', 'https://synbiohub.org/public/igem/BBa_K1100061/1', 'https://synbiohub.org/public/igem/BBa_I1013/1', 'https://synbiohub.org/public/igem/BBa_K1100066/1', 'https://synbiohub.org/public/igem/BBa_K1100062/1']"
95.62841530054644,"['https://synbiohub.org/public/igem/BBa_K1323001/1', 'https://synbiohub.org/public/igem/BBa_K1323000/1']"
95.58823529411765,"['https://synbiohub.org/public/igem/BBa_K1824563/1', 'https://synbiohub.org/public/igem/BBa_K1824564/1', 'https://synbiohub.org/public/igem/BBa_K1824562/1']"
95.0,"['https://synbiohub.org/public/igem/BBa_K1795111/1', 'https://synbiohub.org/public/igem/BBa_K1795112/1']"
94.79768786127167,"['https://synbiohub.org/public/igem/BBa_K598006/1', 'https://synbiohub.org/public/igem/BBa_K598005/1']"
94.33962264150944,"['https://synbiohub.org/public/igem/BBa_K587010/1', 'https://synbiohub.org/public/igem/BBa_K587011/1']"
94.20289855072464,"['https://synbiohub.org/public/igem/BBa_K1614018/1', 'https://synbiohub.org/public/igem/BBa_K1614019/1', 'https://synbiohub.org/public/igem/BBa_K1614020/1']"
94.17989417989418,"['https://synbiohub.org/public/igem/BBa_K1994041/1', 'https://synbiohub.org/public/igem/BBa_K1994042/1', 'https://synbiohub.org/public/igem/BBa_K1994013/1']"
94.11764705882352,"['https://synbiohub.org/public/igem/BBa_K1461003/1', 'https://synbiohub.org/public/igem/BBa_K206031/1']"
94.11764705882352,"['https://synbiohub.org/public/igem/BBa_K1824556/1', 'https://synbiohub.org/public/igem/BBa_K1824557/1']"
92.42424242424242,"['https://synbiohub.org/public/igem/BBa_K1126000/1', 'https://synbiohub.org/public/igem/BBa_K1126001/1', 'https://synbiohub.org/public/igem/BBa_K1126002/1']"
