similarity,node_uri
99.08256880733946,"['ECK120010876', 'ECK120026481-R']"
98.79518072289156,"['BBa_B0052', 'BBa_B0057']"
94.73684210526315,"['L3S2P47', 'L3S2P37']"
92.7536231884058,"['ECK120010869', 'ECK120010793']"
91.48936170212765,"['L3S3P42', 'L3S3P41', 'L3S3P51']"
91.07142857142857,"['L3S2P24', 'L3S2P21', 'L3S2P22']"
90.0,"['BBa_K088008', 'ECK120015454']"
89.65517241379311,"['L1U8H07', 'L1U7H07', 'L1U6H07']"
89.65517241379311,"['L1U8H08', 'L1U7H08', 'L1U6H08']"
88.88888888888889,"['BBa_B0010', 'ECK120051382']"
88.69565217391305,"['L3S2P34', 'L3S2P32', 'L3S2P36', 'L3S2P31', 'ECK120034435', 'L3S2P33', 'L3S2P11', 'L3S2P15', 'L3S2P13', 'L3S2P14']"
88.46153846153845,"['L1U1H12', 'L1U1H09', 'L1U1H10']"
88.46153846153845,"['L1U5H12', 'L1U5H09', 'L1U5H10']"
88.46153846153845,"['L1U8H12', 'L1U8H09', 'L1U8H10']"
88.42105263157895,"['L3S3P37', 'L3S3P35', 'L3S3P31', 'L3S3P32', 'ECK125109870', 'L3S3P33', 'L3S3P12', 'L3S3P14', 'L3S3P11', 'L3S3P15']"
88.37209302325581,"['ECK125108943', 'ECK125108944']"
87.87878787878788,"['L2U1H11', 'L2U1H03']"
87.87878787878788,"['L2U2H04', 'L2U2H05', 'L2U3H04', 'L2U3H05']"
87.67123287671232,"['tonB', 'BBa_B0061', 'BBa_B0051']"
86.95652173913044,"['L1U1H11', 'L1U4H11', 'L1U2H11', 'L1U3H11']"
86.95652173913044,"['L3S1P24', 'L3S1P23', 'L3S1P22', 'L3S1P25']"
86.95652173913044,"['L1U8H11', 'L1U7H11', 'L1U6H11']"
86.56716417910447,"['L2U4H04', 'L2U7H04', 'L2U7H05', 'L2U4H05']"
86.53846153846155,"['L3S1P35', 'L3S1P31', 'L3S1P33', 'L3S1P34', 'L3S1P32', 'L3S1P11', 'L3S1P15', 'L3S1P12', 'pheA-1', 'L3S1P13']"
86.20689655172413,"['L1U4H07', 'L1U3H07', 'L1U2H07', 'L1U1H07', 'L1U5H07']"
