,Name,annotations,roles,Number_of_Annotations,non_interested_role_parts_present,Seq_len,role_name
0,100_BBa_I766340.xml,[],[],0,False,9,[]
1,101_BBa_T1020.xml,[],[],0,False,12,[]
2,102_BBa_J133427.xml,[],[],0,False,12,[]
3,103_BBa_J133426.xml,[],[],0,False,12,[]
4,104_BBa_J133425.xml,[],[],0,False,12,[]
5,105_BBa_J133424.xml,[],[],0,False,12,[]
6,106_BBa_J133423.xml,[],[],0,False,12,[]
7,107_BBa_J133422.xml,[],[],0,False,12,[]
8,108_BBa_J133421.xml,[],[],0,False,12,[]
9,109_BBa_J176016.xml,[],[],0,False,13,[]
10,110_BBa_K844011.xml,[],[],0,False,15,[]
11,111_BBa_K1529923.xml,[],[],0,False,18,[]
12,112_BBa_K1051008.xml,[],[],0,False,18,[]
13,113_BBa_K1529998.xml,[],[],0,False,20,[]
14,114_BBa_K1510104.xml,[],[],0,False,22,[]
15,115_BBa_J133451.xml,[],[],0,False,28,[]
16,116_BBa_K131007.xml,[],[],0,False,28,[]
17,117_BBa_M1700.xml,[],[],0,False,30,[]
18,118_BBa_K1051006.xml,[],[],0,False,31,[]
19,119_BBa_B0050.xml,[],[],0,False,33,[]
20,120_BBa_B0060.xml,[],[],0,False,33,[]
21,121_BBa_J133450.xml,[],[],0,False,33,[]
22,122_BBa_K1994043.xml,[],[],0,False,33,[]
23,123_BBa_B1001.xml,[],[],0,False,34,[]
24,124_BBa_M36376.xml,[],[],0,False,34,[]
25,125_BBa_B1002.xml,[],[],0,False,34,[]
26,126_BBa_B1003.xml,[],[],0,False,34,[]
27,127_BBa_B1004.xml,[],[],0,False,34,[]
28,128_BBa_B1005.xml,[],[],0,False,34,[]
29,129_BBa_B1011.xml,[],[],0,False,34,[]
30,130_BBa_M31977.xml,[],[],0,False,34,[]
31,131_BBa_B0051.xml,['annotation1'],['0000141'],1,False,35,[]
32,132_BBa_B0061.xml,['annotation1'],['0000141'],1,False,35,[]
33,133_BBa_Z0271.xml,['annotation1'],['0000141'],1,False,37,[]
34,134_BBa_J72166.xml,[],[],0,False,38,[]
35,135_BBa_M36267.xml,[],[],0,False,39,[]
36,136_BBa_M36135.xml,[],[],0,False,39,[]
37,137_BBa_B1006.xml,[],[],0,False,39,[]
38,138_BBa_K131008.xml,[],[],0,False,39,[]
39,139_BBa_K156029.xml,[],[],0,False,39,[]
40,140_BBa_J133452.xml,[],[],0,False,39,[]
41,141_BBa_K1051007.xml,[],[],0,False,39,[]
42,142_BBa_K104007.xml,[],[],0,False,39,[]
43,143_BBa_K112709.xml,[],[],0,False,40,[]
44,144_BBa_K156028.xml,[],[],0,False,40,[]
45,145_BBa_B1007.xml,[],[],0,False,40,[]
46,146_BBa_B1008.xml,[],[],0,False,40,[]
47,147_BBa_B1009.xml,[],[],0,False,40,[]
48,148_BBa_B1010.xml,[],[],0,False,40,[]
49,149_BBa_M36456.xml,[],[],0,False,41,[]
50,150_BBa_B0052.xml,[],[],0,False,41,[]
51,151_BBa_B0062.xml,[],[],0,False,41,[]
52,152_BBa_B0022.xml,['annotation1'],['0000141'],1,False,41,[]
53,153_BBa_B0012.xml,['annotation1'],['0000141'],1,False,41,[]
54,154_BBa_K864501.xml,[],[],0,False,42,[]
55,155_BBa_B0057.xml,[],[],0,False,42,[]
56,156_BBa_K1114021.xml,[],[],0,False,43,[]
57,157_BBa_K156027.xml,[],[],0,False,45,[]
58,158_BBa_J85603.xml,[],[],0,False,45,[]
59,159_BBa_K1585995.xml,[],[],0,False,45,[]
60,160_BBa_J85602.xml,[],[],0,False,45,[]
61,161_BBa_B0021.xml,[],[],0,False,46,[]
62,162_BBa_I742129.xml,[],[],0,False,46,[]
63,163_BBa_B0011.xml,[],[],0,False,46,[]
64,164_BBa_K827007.xml,[],[],0,False,46,[]
65,165_BBa_K827008.xml,[],[],0,False,46,[]
66,166_BBa_K1442301.xml,['annotation1'],['0000141'],1,False,46,[]
67,167_BBa_B0013.xml,['annotation1'],['0000141'],1,False,47,[]
68,168_BBa_K784002.xml,['annotation1'],['0000141'],1,False,47,[]
69,169_BBa_B0023.xml,['annotation1'],['0000141'],1,False,47,[]
70,170_BBa_K731721.xml,['annotation1'],['0000141'],1,False,48,[]
71,171_BBa_M50049.xml,['annotation1'],['0000141'],1,False,48,[]
72,172_BBa_K923004.xml,['annotation1'],['0000141'],1,False,48,[]
73,173_BBa_K395601.xml,['annotation1'],['0000141'],1,False,48,[]
74,174_BBa_M36305.xml,['annotation1'],['0000141'],1,False,48,[]
75,175_BBa_K785002.xml,['annotation1'],['0000141'],1,False,48,[]
76,176_BBa_B0016.xml,['annotation1'],['0000141'],1,False,48,[]
77,177_BBa_M50032.xml,['annotation1'],['0000141'],1,False,48,[]
78,178_BBa_K827001.xml,[],[],0,False,48,[]
79,179_BBa_K827006.xml,[],[],0,False,48,[]
80,180_BBa_K827004.xml,[],[],0,False,48,[]
81,181_BBa_K827014.xml,[],[],0,False,48,[]
82,182_BBa_K827000.xml,[],[],0,False,48,[]
83,183_BBa_K827002.xml,[],[],0,False,48,[]
84,184_BBa_K827003.xml,[],[],0,False,48,[]
85,185_BBa_K827005.xml,[],[],0,False,48,[]
86,186_BBa_K809005.xml,[],[],0,False,49,[]
87,187_BBa_J107113.xml,['annotation1'],['0000316'],1,True,49,['CDS']
88,188_BBa_K809004.xml,[],[],0,False,50,[]
89,189_BBa_K827009.xml,[],[],0,False,50,[]
90,190_BBa_K827010.xml,[],[],0,False,50,[]
